trial_id,pair_id,trial_number,condition,target_word,duration,clue_giver_start,elapsed_duration,success_duration,success_text_raw,time_to_success,clue_giver_leak,clue_giver_leak_time,success,note
109_209_37_1_20250115_103541_doughnut_ground,109_209,37,ground,doughnut,67.221768707483,1.624,65.597768707483,False,False,,False,,False,
109_209_38_1_20250115_103556_leather_ground,109_209,38,ground,leather,10.518639455782314,1.971,8.547639455782313,True,True,6.23,False,,True,
109_209_39_1_20250115_103607_christmas_ground,109_209,39,ground,christmas,10.216780045351474,1.809,8.407780045351474,True,True,6.281,False,,True,
109_209_40_1_20250115_103649_bacon_ground,109_209,40,ground,bacon,41.67981859410431,2.064,39.61581859410431,True,False,,False,,False,
109_209_41_1_20250115_103706_music_ground,109_209,41,ground,music,9.566621315192744,1.805,7.761621315192745,True,True,5.8740000000000006,False,,True,
109_209_42_1_20250115_103812_gravy_ground,109_209,42,ground,gravy,65.20163265306122,3.292,61.90963265306122,False,False,,False,,False,
109_209_43_1_20250115_103835_zipper_ground,109_209,43,ground,zipper,18.413424036281175,4.155,14.258424036281173,True,True,12.512999999999998,False,,True,
109_209_45_1_20250115_104012_walnut_board,109_209,45,board,walnut,66.40907029478458,1.89,64.51907029478458,False,False,,True,61.243,False,clue_giver_leak_no_guesser_success
109_209_46_1_20250115_104021_coffee_board,109_209,46,board,coffee,7.22140589569161,1.52,5.701405895691609,True,True,3.791,False,,True,
109_209_47_1_20250115_104044_puppy_board,109_209,47,board,puppy,21.89641723356009,1.424,20.47241723356009,True,True,18.145,False,,True,
109_209_48_1_20250115_104104_flower_board,109_209,48,board,flower,18.808163265306124,2.47,16.338163265306125,True,True,14.586,False,,True,
109_209_49_1_20250115_104132_cherry_board,109_209,49,board,cherry,27.5156462585034,1.666,25.849646258503398,True,True,22.112,False,,True,
109_209_50_1_20250115_104149_sugar_board,109_209,50,board,sugar,16.253968253968253,1.453,14.800968253968254,True,True,12.846,False,,True,
109_209_51_1_20250115_104255_trumpet_board,109_209,51,board,trumpet,65.1784126984127,1.854,63.3244126984127,False,False,,False,,False,
109_209_52_1_20250115_104312_chlorine_board,109_209,52,board,chlorine,12.353015873015874,1.494,10.859015873015874,True,True,8.435,False,,True,
109_209_53_1_20250115_104419_flannel_board,109_209,53,board,flannel,65.36417233560091,2.404,62.960172335600916,False,False,,True,58.68600000000001,False,clue_giver_leak_no_guesser_success
109_209_54_1_20250115_104433_balloon_board,109_209,54,board,balloon,13.049614512471654,2.179,10.870614512471654,True,True,8.778,False,,True,
115_215_12_1_20250115_161913_music_ground,115_215,12,ground,music,10.750839002267574,2.786,7.964839002267574,True,True,5.879,False,,True,
115_215_13_1_20250115_161942_cologne_ground,115_215,13,ground,cologne,27.538866213151927,9.107,18.431866213151928,True,False,,False,,False,
115_215_14_1_20250115_162002_coffee_ground,115_215,14,ground,coffee,9.264761904761905,1.741,7.523761904761905,True,True,5.32,False,,True,
115_215_15_1_20250115_162013_flower_ground,115_215,15,ground,flower,10.263219954648529,2.057,8.206219954648528,True,True,5.837999999999999,False,,True,
115_215_16_1_20250115_162118_flannel_ground,115_215,16,ground,flannel,64.45859410430839,4.77,59.68859410430839,False,True,56.635000000000005,False,,True,
115_215_17_1_20250115_162247_spinach_ground,115_215,17,ground,spinach,69.91528344671202,1.77,68.14528344671203,False,False,,False,,False,
115_215_18_1_20250115_162314_cherry_ground,115_215,18,ground,cherry,17.484625850340137,1.209,16.275625850340138,True,True,13.981,False,,True,
115_215_19_1_20250115_162352_walnut_ground,115_215,19,ground,walnut,37.29124716553288,1.21,36.08124716553288,True,True,33.18,False,,True,
115_215_20_1_20250115_162400_pillow_ground,115_215,20,ground,pillow,7.1053061224489795,1.031,6.07430612244898,True,True,3.798,False,,True,
115_215_21_1_20250115_162406_muscle_ground,115_215,21,ground,muscle,5.178049886621316,1.346,3.8320498866213155,True,True,1.138,False,,True,
115_215_23_1_20250115_162448_movie_ground,115_215,23,ground,movie,20.317460317460316,1.186,19.131460317460316,True,True,16.712,False,,True,
115_215_24_1_20250115_162504_butter_ground,115_215,24,ground,butter,15.603809523809524,0.962,14.641809523809524,True,True,12.593,False,,True,
115_215_25_1_20250115_162529_chlorine_ground,115_215,25,ground,chlorine,23.84689342403628,4.288,19.55889342403628,True,True,16.814,False,,True,
115_215_26_1_20250115_162612_beauty_ground,115_215,26,ground,beauty,42.16743764172335,1.421,40.746437641723354,True,True,38.355000000000004,False,,True,
115_215_27_1_20250115_162642_gravy_ground,115_215,27,ground,gravy,28.69986394557823,1.313,27.38686394557823,True,True,24.976000000000003,False,,True,
115_215_28_1_20250115_162652_christmas_ground,115_215,28,ground,christmas,9.079002267573696,1.014,8.065002267573696,True,True,5.8309999999999995,False,,True,
